Id;Client;ClientEmail;Service;Prix;Duree;Employe;Date;HeureDebut;HeureFin;Statut;Paiement;Notes
example-apt-1;Client Exemple 1;client1@exemple.com;Coloration;20;120;Julie L.;02/04/2025 01:42:09;11:45;13:00;En attente;Remboursé;Notes d'exemple pour le rendez-vous 1
example-apt-2;Client Exemple 2;client2@exemple.com;Coupe;31;45;Sarah D.;29/03/2025 01:42:09;10:00;11:15;En attente;Remboursé;Notes d'exemple pour le rendez-vous 2
example-apt-3;Client Exemple 3;client3@exemple.com;Coloration;25;30;Julie L.;24/03/2025 01:42:09;16:45;15:00;Terminé;En attente;Notes d'exemple pour le rendez-vous 3
example-apt-4;Client Exemple 4;client4@exemple.com;Soin;37;120;Marc B.;17/04/2025 01:42:09;11:30;11:45;En attente;Remboursé;Notes d'exemple pour le rendez-vous 4
example-apt-5;Client Exemple 5;client5@exemple.com;Soin;65;120;Thomas M.;28/03/2025 01:42:09;10:15;16:30;Annulé;En attente;Notes d'exemple pour le rendez-vous 5
example-apt-6;Client Exemple 6;client6@exemple.com;Coiffure;25;45;Julie L.;03/04/2025 01:42:09;12:15;15:00;Annulé;En attente;Notes d'exemple pour le rendez-vous 6
example-apt-7;Client Exemple 7;client7@exemple.com;Coloration;36;30;Marc B.;15/04/2025 01:42:09;14:45;11:45;Annulé;En attente;Notes d'exemple pour le rendez-vous 7
example-apt-8;Client Exemple 8;client8@exemple.com;Soin;60;60;Sarah D.;01/04/2025 01:42:09;12:45;15:15;Annulé;En attente;Notes d'exemple pour le rendez-vous 8
example-apt-9;Client Exemple 9;client9@exemple.com;Soin;29;45;Sarah D.;14/04/2025 01:42:09;15:45;13:15;Confirmé;Payé;Notes d'exemple pour le rendez-vous 9
example-apt-10;Client Exemple 10;client10@exemple.com;Brushing;20;90;Marc B.;30/03/2025 01:42:09;14:45;13:00;Annulé;En attente;Notes d'exemple pour le rendez-vous 10
