Id;Client;ClientEmail;Service;Prix;Duree;Employe;Date;HeureDebut;HeureFin;Statut;Paiement;Notes
example-apt-1;Client Exemple 1;client1@exemple.com;Coupe;39;30;Sarah D.;20/04/2025 01:42:19;12:15;15:45;Annulé;En attente;Notes d'exemple pour le rendez-vous 1
example-apt-2;Client Exemple 2;client2@exemple.com;Brushing;26;60;Julie L.;10/04/2025 01:42:19;15:45;14:00;Terminé;Payé;Notes d'exemple pour le rendez-vous 2
example-apt-3;Client Exemple 3;client3@exemple.com;Soin;24;30;Marc B.;13/04/2025 01:42:19;11:30;11:30;Confirmé;Remboursé;Notes d'exemple pour le rendez-vous 3
example-apt-4;Client Exemple 4;client4@exemple.com;Coloration;63;90;Lucie F.;13/04/2025 01:42:19;13:30;13:45;Annulé;Remboursé;Notes d'exemple pour le rendez-vous 4
example-apt-5;Client Exemple 5;client5@exemple.com;Coiffure;61;120;Thomas M.;13/04/2025 01:42:19;15:15;13:45;Annulé;En attente;Notes d'exemple pour le rendez-vous 5
example-apt-6;Client Exemple 6;client6@exemple.com;Brushing;69;60;Thomas M.;27/03/2025 01:42:19;10:30;16:00;Terminé;En attente;Notes d'exemple pour le rendez-vous 6
example-apt-7;Client Exemple 7;client7@exemple.com;Soin;63;60;Thomas M.;31/03/2025 01:42:19;14:00;10:45;Annulé;En attente;Notes d'exemple pour le rendez-vous 7
example-apt-8;Client Exemple 8;client8@exemple.com;Coupe;40;45;Sarah D.;26/03/2025 01:42:19;10:45;16:30;Terminé;Remboursé;Notes d'exemple pour le rendez-vous 8
example-apt-9;Client Exemple 9;client9@exemple.com;Coiffure;23;60;Marc B.;30/03/2025 01:42:19;14:15;17:00;En attente;Remboursé;Notes d'exemple pour le rendez-vous 9
example-apt-10;Client Exemple 10;client10@exemple.com;Soin;39;60;Julie L.;07/04/2025 01:42:19;13:45;12:15;Annulé;En attente;Notes d'exemple pour le rendez-vous 10
