Id;Client;ClientEmail;Service;Prix;Duree;Employe;Date;HeureDebut;HeureFin;Statut;Paiement;Notes
example-apt-1;Client Exemple 1;client1@exemple.com;Soin;55;60;Julie L.;29/03/2025 01:51:23;13:45;15:30;Terminé;En attente;Notes d'exemple pour le rendez-vous 1
example-apt-2;Client Exemple 2;client2@exemple.com;Brushing;47;45;Thomas M.;20/04/2025 01:51:23;16:00;12:45;Annulé;En attente;Notes d'exemple pour le rendez-vous 2
example-apt-3;Client Exemple 3;client3@exemple.com;Brushing;66;30;Julie L.;12/04/2025 01:51:23;12:45;13:30;Confirmé;Payé;Notes d'exemple pour le rendez-vous 3
example-apt-4;Client Exemple 4;client4@exemple.com;Coupe;28;30;Julie L.;16/04/2025 01:51:23;15:30;13:15;Terminé;En attente;Notes d'exemple pour le rendez-vous 4
example-apt-5;Client Exemple 5;client5@exemple.com;Coiffure;33;90;Thomas M.;16/04/2025 01:51:23;10:30;16:45;En attente;En attente;Notes d'exemple pour le rendez-vous 5
example-apt-6;Client Exemple 6;client6@exemple.com;Soin;37;60;Lucie F.;16/04/2025 01:51:23;9:15;17:30;Confirmé;En attente;Notes d'exemple pour le rendez-vous 6
example-apt-7;Client Exemple 7;client7@exemple.com;Soin;23;90;Julie L.;26/03/2025 01:51:23;10:15;12:15;Confirmé;En attente;Notes d'exemple pour le rendez-vous 7
example-apt-8;Client Exemple 8;client8@exemple.com;Coupe;36;120;Julie L.;04/04/2025 01:51:23;11:45;15:30;Confirmé;En attente;Notes d'exemple pour le rendez-vous 8
example-apt-9;Client Exemple 9;client9@exemple.com;Brushing;41;60;Sarah D.;09/04/2025 01:51:23;13:00;14:30;Annulé;Payé;Notes d'exemple pour le rendez-vous 9
example-apt-10;Client Exemple 10;client10@exemple.com;Soin;50;45;Lucie F.;27/03/2025 01:51:23;11:00;15:45;En attente;Payé;Notes d'exemple pour le rendez-vous 10
