Id;Client;ClientEmail;Service;Prix;Duree;Employe;Date;HeureDebut;HeureFin;Statut;Paiement;Notes
example-apt-1;Client Exemple 1;client1@exemple.com;Brushing;34;90;Julie L.;02/04/2025 15:33:19;11:45;15:00;Annulé;Remboursé;Notes d'exemple pour le rendez-vous 1
example-apt-2;Client Exemple 2;client2@exemple.com;Brushing;48;45;Thomas M.;25/03/2025 15:33:19;15:15;15:15;Confirmé;Remboursé;Notes d'exemple pour le rendez-vous 2
example-apt-3;Client Exemple 3;client3@exemple.com;Coiffure;24;60;Sarah D.;15/04/2025 15:33:19;16:00;13:45;En attente;Payé;Notes d'exemple pour le rendez-vous 3
example-apt-4;Client Exemple 4;client4@exemple.com;Soin;64;60;Marc B.;22/04/2025 15:33:19;14:30;11:45;Terminé;Remboursé;Notes d'exemple pour le rendez-vous 4
example-apt-5;Client Exemple 5;client5@exemple.com;Coupe;52;120;Julie L.;26/03/2025 15:33:19;15:30;14:30;Terminé;Remboursé;Notes d'exemple pour le rendez-vous 5
example-apt-6;Client Exemple 6;client6@exemple.com;Coupe;23;90;Julie L.;28/03/2025 15:33:19;15:45;15:45;En attente;Remboursé;Notes d'exemple pour le rendez-vous 6
example-apt-7;Client Exemple 7;client7@exemple.com;Coiffure;38;45;Thomas M.;14/04/2025 15:33:19;10:30;15:30;Terminé;En attente;Notes d'exemple pour le rendez-vous 7
example-apt-8;Client Exemple 8;client8@exemple.com;Coiffure;53;45;Marc B.;10/04/2025 15:33:19;9:45;13:00;En attente;Remboursé;Notes d'exemple pour le rendez-vous 8
example-apt-9;Client Exemple 9;client9@exemple.com;Coloration;26;90;Sarah D.;06/04/2025 15:33:19;14:45;15:45;Confirmé;Remboursé;Notes d'exemple pour le rendez-vous 9
example-apt-10;Client Exemple 10;client10@exemple.com;Coiffure;25;30;Julie L.;15/04/2025 15:33:19;13:15;10:45;Confirmé;Remboursé;Notes d'exemple pour le rendez-vous 10
