Id;Client;ClientEmail;Service;Prix;Duree;Employe;Date;HeureDebut;HeureFin;Statut;Paiement;Notes
example-apt-1;Client Exemple 1;client1@exemple.com;Coloration;38;120;Julie L.;27/03/2025 16:36:51;14:45;16:45;Terminé;Payé;Notes d'exemple pour le rendez-vous 1
example-apt-2;Client Exemple 2;client2@exemple.com;Coupe;61;60;Thomas M.;20/04/2025 16:36:51;13:15;16:15;En attente;En attente;Notes d'exemple pour le rendez-vous 2
example-apt-3;Client Exemple 3;client3@exemple.com;Coloration;64;30;Julie L.;01/04/2025 16:36:51;16:30;11:45;Confirmé;En attente;Notes d'exemple pour le rendez-vous 3
example-apt-4;Client Exemple 4;client4@exemple.com;Coupe;27;60;Marc B.;05/04/2025 16:36:51;9:15;10:30;Confirmé;Payé;Notes d'exemple pour le rendez-vous 4
example-apt-5;Client Exemple 5;client5@exemple.com;Coloration;64;120;Lucie F.;11/04/2025 16:36:51;10:30;11:45;Annulé;Remboursé;Notes d'exemple pour le rendez-vous 5
example-apt-6;Client Exemple 6;client6@exemple.com;Coloration;39;30;Julie L.;30/03/2025 16:36:51;9:15;16:00;Confirmé;En attente;Notes d'exemple pour le rendez-vous 6
example-apt-7;Client Exemple 7;client7@exemple.com;Brushing;22;90;Thomas M.;14/04/2025 16:36:51;16:30;15:30;Confirmé;En attente;Notes d'exemple pour le rendez-vous 7
example-apt-8;Client Exemple 8;client8@exemple.com;Soin;47;30;Julie L.;24/03/2025 16:36:51;10:00;14:45;Annulé;Remboursé;Notes d'exemple pour le rendez-vous 8
example-apt-9;Client Exemple 9;client9@exemple.com;Brushing;41;45;Marc B.;24/03/2025 16:36:51;14:15;16:45;Annulé;Payé;Notes d'exemple pour le rendez-vous 9
example-apt-10;Client Exemple 10;client10@exemple.com;Soin;45;60;Thomas M.;09/04/2025 16:36:51;11:45;11:30;Confirmé;Remboursé;Notes d'exemple pour le rendez-vous 10
